category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,,75.4,28.3,77.5,12.7
passes,cross,true,,false,,99.4,0.2,89.7,35.2
passes,cross,true,,false,,68.6,23.1,86.7,54.1
passes,cross,true,,false,true,66.3,76.8,92.8,32.7
passes,pass,true,true,false,,46.1,55.9,41.9,32.2
passes,pass,true,true,false,,66,28.2,80.5,3.7
passes,pass,true,true,false,,71.7,15.4,56.4,28.5
passes,pass,true,true,false,,59.2,25.9,69.8,6.3
passes,pass,true,true,false,,65.3,30.6,57.3,52.6
passes,pass,true,true,false,,75.7,72,84.4,96.3
passes,pass,true,true,false,,66.5,42,55.4,44.4
passes,pass,true,true,true,,70,49,77.9,45.9
passes,pass,true,true,false,,90.9,90.9,85,91.9
passes,pass,true,true,false,,48.1,55.6,46,67.9
passes,pass,true,true,false,,47.7,59.1,59.3,79.3
passes,pass,true,true,false,,69.4,65.5,74.4,69.9
passes,pass,true,true,false,,12.8,57.5,12.8,80.1
passes,pass,true,true,false,,66.8,20.9,61.7,26.6
passes,pass,true,,false,,74.6,49.5,79.5,56.8
passes,pass,true,true,true,,75.3,52.6,75.1,58.3
passes,pass,true,true,false,,79.5,59.9,79.3,67.1
passes,pass,true,true,false,,67.4,43.8,64.5,69.7
passes,pass,true,true,false,,73.4,11.2,65.9,28.3
passes,pass,true,true,false,,69.8,26.4,57.8,34.3
passes,pass,true,true,false,,37.4,32.4,40.3,68.1
passes,pass,true,true,false,,67.4,77.8,75.4,95.5
passes,pass,true,true,false,true,69.1,77.7,80,12.7
passes,pass,true,,false,,46.2,72,48.6,72.9
passes,pass,true,true,false,,57.6,32.5,55.6,65.7
passes,pass,true,,false,,62.1,53.2,75.6,73.5
passes,pass,true,true,false,,76.5,75.8,70.9,66.4
passes,pass,true,true,false,,73.9,72,75.9,61.6
passes,pass,true,true,false,,78.3,60.7,77.9,69.1
passes,pass,true,true,false,,74.5,73.8,82.9,87.7
passes,cross,true,,false,true,71.4,22.8,94.6,73.6
passes,pass,true,true,false,,42.8,29.8,37,61.3
passes,pass,true,,false,true,67.2,64,100,88
passes,pass,true,true,false,,27,41.7,38.1,40.6
passes,pass,true,true,false,,64.9,55.9,64.7,29.1
passes,pass,true,true,false,,58.1,43.8,61,15.7
passes,pass,true,true,false,,70.1,23.4,64.9,60.6
passes,pass,true,true,false,,39.8,31.5,59.5,29.5
passes,pass,true,true,false,,68.3,22.9,74.7,5.4
passes,cross,true,,false,,99.5,0.5,90.5,37
passes,pass,true,true,false,,55.5,26.8,53,38.4
passes,pass,true,true,false,,49.6,49.8,44.1,31
passes,pass,true,true,false,,48.1,27.1,42.2,61.6
passes,pass,true,true,false,,51.8,27.9,59.6,5.1
passes,pass,true,true,false,,54.3,17.1,40.4,31.5
passes,pass,true,true,false,,76.2,57,79.8,74.5
passes,pass,true,,false,,80.9,68.1,100,35.8
passes,cross,true,,false,true,73.3,9.1,94.6,51.6
passes,pass,true,true,false,,99.5,0.5,86.5,8.4
passes,pass,true,true,false,,71.9,86.7,77.4,95.4
passes,cross,true,true,true,true,99.5,0.5,87.9,51.3
passes,pass,true,true,false,,40.7,50.4,43.8,80.1
passes,pass,true,true,true,,81.8,49.3,90.2,52.8
defensive,ball-recovery,true,true,false,,78.4,31.9,,
defensive,clearance,true,true,false,,14.4,46,47.5,29.7
defensive,tackle,true,,false,,57.6,26.6,,
defensive,ball-recovery,true,true,false,,74.1,52.3,,
defensive,interception,true,true,false,,22,59.7,,
defensive,ball-recovery,true,true,false,,29.1,63.7,,
defensive,ball-recovery,true,true,false,,51.4,38.1,,
defensive,tackle,true,true,false,,44,48,,
defensive,ball-recovery,true,true,false,,39.9,48.3,,
ball-carries,ball-carry,true,,,,78.4,31.9,85.1,33
ball-carries,ball-carry,true,,,,59.5,15.7,65.3,30.6
ball-carries,ball-carry,true,,,,81.2,62.4,84.6,62.6
ball-carries,ball-carry,true,,,,76.4,67.6,75.7,72
ball-carries,ball-carry,true,,,,54.3,50.1,48.1,55.6
ball-carries,ball-carry,true,,,,16.3,50.8,17.3,57
ball-carries,ball-carry,true,,,,74.1,52.3,81.6,55.9
ball-carries,ball-carry,true,,,,69.1,18.9,69.8,26.4
ball-carries,ball-carry,true,,,,35.2,29.2,37.4,32.4
ball-carries,ball-carry,true,,,,68.8,85,69.1,77.7
ball-carries,ball-carry,true,,,,51.4,38.1,62.1,53.2
ball-carries,ball-carry,true,,,,84.4,89.8,74.5,73.8
ball-carries,ball-carry,true,,,,65.6,57.7,67.2,64
ball-carries,ball-carry,true,,,,63.7,65.5,64.9,55.9
ball-carries,ball-carry,true,,,,53.1,60.1,58.1,43.8
ball-carries,ball-carry,true,,,,55.2,15.7,55.5,26.8
ball-carries,ball-carry,true,,,,51.4,43.3,49.6,49.8
ball-carries,ball-carry,true,,,,52.8,25.5,48.1,27.1
ball-carries,ball-carry,true,,,,45.4,30.1,51.8,27.9
ball-carries,ball-carry,true,,,,81.2,40.8,81.8,49.3
